run_id,stage,vpn,client_role,client_type,wifi_band,host,repeat,mtu,delay_ms,loss_pct,cpu_stress,cpu_workers,cpu_sample_interval_sec,ping_interval_sec,duration_sec,ping_count,udp_bandwidth,iface,client_conf,measure_handshake,measure_reconnect,capture,start_vpn,stop_vpn,tcp_throughput_mbps,udp_throughput_mbps,udp_loss_pct_actual,udp_jitter_ms,rtt_min_ms,rtt_avg_ms,rtt_max_ms,rtt_mdev_ms,cpu_avg_percent,cpu_max_percent,throughput_per_cpu,reconnect_ms,handshake_ms,folder
baseline_ipsec_pi_2.4GHz_20260420T161144920863Z_r1_b8807ae3,baseline,ipsec,pi,RaspberryPi,2.4GHz,ubuntu,1,1500,,,False,2,1.0,0.2,60,50,50M,wlan0,,False,False,True,True,True,49.276338806356776,49.999435000960496,0.0664913049831945,0.1990545866631003,13.356,13.968,16.241,0.778,22.134351145038167,38.1,2.2262382341125457,,,C:\vpn-thesis\results\baseline_ipsec_pi_2.4GHz_20260420T161144920863Z_r1_b8807ae3
baseline_ipsec_pi_2.4GHz_20260420T162037393465Z_r2_d4b947b3,baseline,ipsec,pi,RaspberryPi,2.4GHz,ubuntu,2,1500,,,False,2,1.0,0.2,60,50,50M,wlan0,,False,False,True,True,True,49.33636980446302,49.999435834283,0.0540698524039164,0.27217114987895313,13.253,15.444,32.067,3.279,8.221374045801527,24.2,6.000988342047034,,,C:\vpn-thesis\results\baseline_ipsec_pi_2.4GHz_20260420T162037393465Z_r2_d4b947b3
baseline_ipsec_pi_2.4GHz_20260420T162929879103Z_r3_73fd225a,baseline,ipsec,pi,RaspberryPi,2.4GHz,ubuntu,3,1500,,,False,2,1.0,0.2,60,50,50M,wlan0,,False,False,True,True,True,49.0984199637943,49.999437500928124,0.0770860733596376,0.2463964409894551,13.37,16.237,78.36,11.495,13.63740458015267,100.0,3.600275967118418,,,C:\vpn-thesis\results\baseline_ipsec_pi_2.4GHz_20260420T162929879103Z_r3_73fd225a
baseline_ipsec_pi_5GHz_20260420T080528974661Z_r1_c2ad2e9e,baseline,ipsec,pi,RaspberryPi,5GHz,ubuntu,1,1500,,,False,2,1.0,0.2,60,50,50M,eth0,,False,False,True,True,True,89.2144597798374,49.999437500928124,0.24660236738272687,0.08739311053718844,12.528,14.057,29.643,3.868,7.891603053435114,17.5,11.304985714024665,,,C:\vpn-thesis\results\baseline_ipsec_pi_5GHz_20260420T080528974661Z_r1_c2ad2e9e
baseline_ipsec_pi_5GHz_20260420T081421460575Z_r2_49a74d85,baseline,ipsec,pi,RaspberryPi,5GHz,ubuntu,2,1500,,,False,2,1.0,0.2,60,50,50M,eth0,,False,False,True,True,True,89.20995404729875,49.999435000960496,0.23198889376004675,0.07765337361251554,12.361,12.91,16.308,0.752,1.66793893129771,7.0,53.48514407412419,,,C:\vpn-thesis\results\baseline_ipsec_pi_5GHz_20260420T081421460575Z_r2_49a74d85
baseline_ipsec_pi_5GHz_20260420T082313935526Z_r3_eff02240,baseline,ipsec,pi,RaspberryPi,5GHz,ubuntu,3,1500,,,False,2,1.0,0.2,60,50,50M,eth0,,False,False,True,True,True,89.23921015432593,49.99943833425072,0.06795265234546252,0.0768828878503493,12.305,12.658,12.923,0.125,1.717557251908397,6.4,51.95705124540754,,,C:\vpn-thesis\results\baseline_ipsec_pi_5GHz_20260420T082313935526Z_r3_eff02240
baseline_ipsec_vm_2.4GHz_20260420T191406569446Z_r1_a6c83361,baseline,ipsec,vm,VM,2.4GHz,ubuntu,1,1500,,,False,2,1.0,0.2,60,50,50M,enp0s3,,False,False,True,True,True,16.524619018132164,8.971063432995646,0.0,0.160768569639287,13.856,17.555,45.551,4.746,99.3103448275862,100.0,0.16639373316869194,,,C:\vpn-thesis\results\baseline_ipsec_vm_2.4GHz_20260420T191406569446Z_r1_a6c83361
baseline_ipsec_vm_2.4GHz_20260420T192331722746Z_r2_d90857a4,baseline,ipsec,vm,VM,2.4GHz,ubuntu,2,1500,,,False,2,1.0,0.2,60,50,50M,enp0s3,,False,False,True,True,True,15.9215532621173,10.509158592777107,0.0,0.18675993722578013,13.354,16.068,25.008,2.766,99.28142857142856,100.0,0.16036789046264027,,,C:\vpn-thesis\results\baseline_ipsec_vm_2.4GHz_20260420T192331722746Z_r2_d90857a4
baseline_ipsec_vm_2.4GHz_20260420T193303346691Z_r3_d7cb89c2,baseline,ipsec,vm,VM,2.4GHz,ubuntu,3,1500,,,False,2,1.0,0.2,60,50,50M,enp0s3,,False,False,True,True,True,17.076338249893283,9.35459194884848,0.11498733190411226,9.08347408739323,13.746,16.935,32.785,3.705,99.27007299270073,100.0,0.17201899560554262,,,C:\vpn-thesis\results\baseline_ipsec_vm_2.4GHz_20260420T193303346691Z_r3_d7cb89c2
baseline_ipsec_vm_5GHz_20260420T112929008396Z_r1_67a31810,baseline,ipsec,vm,VM,5GHz,ubuntu,1,1500,,,False,2,1.0,0.2,60,50,50M,enp0s3,,False,False,True,True,True,76.2348049738566,49.9967516685074,0.3200526113881734,0.11417520488051386,13.415,13.668,14.465,0.172,34.21707317073171,52.5,2.2279756247260107,,,C:\vpn-thesis\results\baseline_ipsec_vm_5GHz_20260420T112929008396Z_r1_67a31810
