PING 192.168.1.175 (192.168.1.175) 56(84) bytes of data.
64 bytes from 192.168.1.175: icmp_seq=1 ttl=64 time=97.2 ms
64 bytes from 192.168.1.175: icmp_seq=2 ttl=64 time=67.0 ms
64 bytes from 192.168.1.175: icmp_seq=3 ttl=64 time=74.9 ms
64 bytes from 192.168.1.175: icmp_seq=4 ttl=64 time=239 ms
64 bytes from 192.168.1.175: icmp_seq=5 ttl=64 time=264 ms
64 bytes from 192.168.1.175: icmp_seq=6 ttl=64 time=68.7 ms
64 bytes from 192.168.1.175: icmp_seq=7 ttl=64 time=243 ms
64 bytes from 192.168.1.175: icmp_seq=8 ttl=64 time=77.7 ms
64 bytes from 192.168.1.175: icmp_seq=9 ttl=64 time=72.0 ms
64 bytes from 192.168.1.175: icmp_seq=10 ttl=64 time=235 ms
64 bytes from 192.168.1.175: icmp_seq=11 ttl=64 time=68.2 ms
64 bytes from 192.168.1.175: icmp_seq=12 ttl=64 time=67.0 ms
64 bytes from 192.168.1.175: icmp_seq=13 ttl=64 time=70.5 ms
64 bytes from 192.168.1.175: icmp_seq=14 ttl=64 time=84.2 ms
64 bytes from 192.168.1.175: icmp_seq=15 ttl=64 time=262 ms
64 bytes from 192.168.1.175: icmp_seq=16 ttl=64 time=70.5 ms
64 bytes from 192.168.1.175: icmp_seq=17 ttl=64 time=129 ms
64 bytes from 192.168.1.175: icmp_seq=18 ttl=64 time=84.2 ms
64 bytes from 192.168.1.175: icmp_seq=19 ttl=64 time=68.9 ms
64 bytes from 192.168.1.175: icmp_seq=20 ttl=64 time=183 ms
64 bytes from 192.168.1.175: icmp_seq=21 ttl=64 time=72.0 ms
64 bytes from 192.168.1.175: icmp_seq=22 ttl=64 time=70.1 ms
64 bytes from 192.168.1.175: icmp_seq=23 ttl=64 time=68.6 ms
64 bytes from 192.168.1.175: icmp_seq=24 ttl=64 time=152 ms
64 bytes from 192.168.1.175: icmp_seq=25 ttl=64 time=167 ms
64 bytes from 192.168.1.175: icmp_seq=26 ttl=64 time=158 ms
64 bytes from 192.168.1.175: icmp_seq=27 ttl=64 time=73.9 ms
64 bytes from 192.168.1.175: icmp_seq=28 ttl=64 time=221 ms
64 bytes from 192.168.1.175: icmp_seq=29 ttl=64 time=79.3 ms
64 bytes from 192.168.1.175: icmp_seq=30 ttl=64 time=65.3 ms
64 bytes from 192.168.1.175: icmp_seq=31 ttl=64 time=74.4 ms
64 bytes from 192.168.1.175: icmp_seq=32 ttl=64 time=71.5 ms
64 bytes from 192.168.1.175: icmp_seq=33 ttl=64 time=71.8 ms
64 bytes from 192.168.1.175: icmp_seq=34 ttl=64 time=208 ms
64 bytes from 192.168.1.175: icmp_seq=35 ttl=64 time=193 ms
64 bytes from 192.168.1.175: icmp_seq=36 ttl=64 time=105 ms
64 bytes from 192.168.1.175: icmp_seq=37 ttl=64 time=117 ms
64 bytes from 192.168.1.175: icmp_seq=38 ttl=64 time=68.6 ms
64 bytes from 192.168.1.175: icmp_seq=39 ttl=64 time=77.2 ms
64 bytes from 192.168.1.175: icmp_seq=40 ttl=64 time=79.1 ms
64 bytes from 192.168.1.175: icmp_seq=41 ttl=64 time=70.4 ms
64 bytes from 192.168.1.175: icmp_seq=42 ttl=64 time=68.4 ms
64 bytes from 192.168.1.175: icmp_seq=43 ttl=64 time=156 ms
64 bytes from 192.168.1.175: icmp_seq=44 ttl=64 time=69.5 ms
64 bytes from 192.168.1.175: icmp_seq=45 ttl=64 time=69.2 ms
64 bytes from 192.168.1.175: icmp_seq=46 ttl=64 time=234 ms
64 bytes from 192.168.1.175: icmp_seq=47 ttl=64 time=294 ms
64 bytes from 192.168.1.175: icmp_seq=48 ttl=64 time=69.0 ms
64 bytes from 192.168.1.175: icmp_seq=49 ttl=64 time=73.3 ms
64 bytes from 192.168.1.175: icmp_seq=50 ttl=64 time=70.5 ms

--- 192.168.1.175 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 11955ms
rtt min/avg/max/mdev = 65.263/117.817/294.023/68.099 ms, pipe 2

