PING 10.10.0.1 (10.10.0.1) 56(84) bytes of data.
64 bytes from 10.10.0.1: icmp_seq=1 ttl=64 time=21.4 ms
64 bytes from 10.10.0.1: icmp_seq=2 ttl=64 time=14.0 ms
64 bytes from 10.10.0.1: icmp_seq=3 ttl=64 time=33.7 ms
64 bytes from 10.10.0.1: icmp_seq=4 ttl=64 time=35.7 ms
64 bytes from 10.10.0.1: icmp_seq=5 ttl=64 time=28.1 ms
64 bytes from 10.10.0.1: icmp_seq=6 ttl=64 time=31.4 ms
64 bytes from 10.10.0.1: icmp_seq=7 ttl=64 time=34.3 ms
64 bytes from 10.10.0.1: icmp_seq=8 ttl=64 time=22.1 ms
64 bytes from 10.10.0.1: icmp_seq=9 ttl=64 time=28.5 ms
64 bytes from 10.10.0.1: icmp_seq=10 ttl=64 time=28.2 ms
64 bytes from 10.10.0.1: icmp_seq=11 ttl=64 time=31.2 ms
64 bytes from 10.10.0.1: icmp_seq=12 ttl=64 time=39.8 ms
64 bytes from 10.10.0.1: icmp_seq=13 ttl=64 time=42.3 ms
64 bytes from 10.10.0.1: icmp_seq=14 ttl=64 time=31.5 ms
64 bytes from 10.10.0.1: icmp_seq=15 ttl=64 time=22.2 ms
64 bytes from 10.10.0.1: icmp_seq=16 ttl=64 time=23.2 ms
64 bytes from 10.10.0.1: icmp_seq=17 ttl=64 time=35.5 ms
64 bytes from 10.10.0.1: icmp_seq=18 ttl=64 time=27.4 ms
64 bytes from 10.10.0.1: icmp_seq=19 ttl=64 time=20.3 ms
64 bytes from 10.10.0.1: icmp_seq=20 ttl=64 time=17.3 ms
64 bytes from 10.10.0.1: icmp_seq=21 ttl=64 time=54.4 ms
64 bytes from 10.10.0.1: icmp_seq=22 ttl=64 time=28.6 ms
64 bytes from 10.10.0.1: icmp_seq=23 ttl=64 time=39.2 ms
64 bytes from 10.10.0.1: icmp_seq=24 ttl=64 time=21.6 ms
64 bytes from 10.10.0.1: icmp_seq=25 ttl=64 time=27.4 ms
64 bytes from 10.10.0.1: icmp_seq=26 ttl=64 time=35.1 ms
64 bytes from 10.10.0.1: icmp_seq=27 ttl=64 time=16.6 ms
64 bytes from 10.10.0.1: icmp_seq=28 ttl=64 time=43.3 ms
64 bytes from 10.10.0.1: icmp_seq=29 ttl=64 time=33.9 ms
64 bytes from 10.10.0.1: icmp_seq=30 ttl=64 time=17.0 ms
64 bytes from 10.10.0.1: icmp_seq=31 ttl=64 time=23.9 ms
64 bytes from 10.10.0.1: icmp_seq=32 ttl=64 time=14.6 ms
64 bytes from 10.10.0.1: icmp_seq=33 ttl=64 time=22.0 ms
64 bytes from 10.10.0.1: icmp_seq=34 ttl=64 time=48.1 ms
64 bytes from 10.10.0.1: icmp_seq=35 ttl=64 time=26.0 ms
64 bytes from 10.10.0.1: icmp_seq=36 ttl=64 time=16.9 ms
64 bytes from 10.10.0.1: icmp_seq=37 ttl=64 time=24.3 ms
64 bytes from 10.10.0.1: icmp_seq=38 ttl=64 time=18.9 ms
64 bytes from 10.10.0.1: icmp_seq=39 ttl=64 time=26.3 ms
64 bytes from 10.10.0.1: icmp_seq=40 ttl=64 time=19.4 ms
64 bytes from 10.10.0.1: icmp_seq=41 ttl=64 time=15.2 ms
64 bytes from 10.10.0.1: icmp_seq=42 ttl=64 time=22.6 ms
64 bytes from 10.10.0.1: icmp_seq=43 ttl=64 time=26.4 ms
64 bytes from 10.10.0.1: icmp_seq=44 ttl=64 time=31.6 ms
64 bytes from 10.10.0.1: icmp_seq=45 ttl=64 time=27.2 ms
64 bytes from 10.10.0.1: icmp_seq=46 ttl=64 time=15.9 ms
64 bytes from 10.10.0.1: icmp_seq=47 ttl=64 time=33.0 ms
64 bytes from 10.10.0.1: icmp_seq=48 ttl=64 time=19.8 ms
64 bytes from 10.10.0.1: icmp_seq=49 ttl=64 time=23.9 ms
64 bytes from 10.10.0.1: icmp_seq=50 ttl=64 time=48.8 ms

--- 10.10.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 10180ms
rtt min/avg/max/mdev = 14.013/27.805/54.430/9.320 ms

