PING 10.10.0.1 (10.10.0.1) 56(84) bytes of data.
64 bytes from 10.10.0.1: icmp_seq=1 ttl=64 time=33.3 ms
64 bytes from 10.10.0.1: icmp_seq=2 ttl=64 time=26.3 ms
64 bytes from 10.10.0.1: icmp_seq=3 ttl=64 time=22.3 ms
64 bytes from 10.10.0.1: icmp_seq=4 ttl=64 time=23.0 ms
64 bytes from 10.10.0.1: icmp_seq=5 ttl=64 time=28.7 ms
64 bytes from 10.10.0.1: icmp_seq=6 ttl=64 time=27.3 ms
64 bytes from 10.10.0.1: icmp_seq=7 ttl=64 time=39.7 ms
64 bytes from 10.10.0.1: icmp_seq=8 ttl=64 time=18.5 ms
64 bytes from 10.10.0.1: icmp_seq=9 ttl=64 time=21.7 ms
64 bytes from 10.10.0.1: icmp_seq=10 ttl=64 time=41.7 ms
64 bytes from 10.10.0.1: icmp_seq=11 ttl=64 time=27.7 ms
64 bytes from 10.10.0.1: icmp_seq=12 ttl=64 time=19.2 ms
64 bytes from 10.10.0.1: icmp_seq=13 ttl=64 time=22.6 ms
64 bytes from 10.10.0.1: icmp_seq=14 ttl=64 time=24.6 ms
64 bytes from 10.10.0.1: icmp_seq=15 ttl=64 time=26.4 ms
64 bytes from 10.10.0.1: icmp_seq=16 ttl=64 time=27.3 ms
64 bytes from 10.10.0.1: icmp_seq=17 ttl=64 time=34.6 ms
64 bytes from 10.10.0.1: icmp_seq=18 ttl=64 time=30.6 ms
64 bytes from 10.10.0.1: icmp_seq=19 ttl=64 time=21.8 ms
64 bytes from 10.10.0.1: icmp_seq=20 ttl=64 time=22.6 ms
64 bytes from 10.10.0.1: icmp_seq=21 ttl=64 time=34.3 ms
64 bytes from 10.10.0.1: icmp_seq=22 ttl=64 time=27.7 ms
64 bytes from 10.10.0.1: icmp_seq=23 ttl=64 time=26.8 ms
64 bytes from 10.10.0.1: icmp_seq=24 ttl=64 time=26.3 ms
64 bytes from 10.10.0.1: icmp_seq=25 ttl=64 time=21.2 ms
64 bytes from 10.10.0.1: icmp_seq=26 ttl=64 time=21.3 ms
64 bytes from 10.10.0.1: icmp_seq=27 ttl=64 time=14.4 ms
64 bytes from 10.10.0.1: icmp_seq=28 ttl=64 time=25.5 ms
64 bytes from 10.10.0.1: icmp_seq=29 ttl=64 time=24.6 ms
64 bytes from 10.10.0.1: icmp_seq=30 ttl=64 time=18.2 ms
64 bytes from 10.10.0.1: icmp_seq=31 ttl=64 time=18.8 ms
64 bytes from 10.10.0.1: icmp_seq=32 ttl=64 time=50.7 ms
64 bytes from 10.10.0.1: icmp_seq=33 ttl=64 time=19.7 ms
64 bytes from 10.10.0.1: icmp_seq=34 ttl=64 time=62.6 ms
64 bytes from 10.10.0.1: icmp_seq=35 ttl=64 time=24.7 ms
64 bytes from 10.10.0.1: icmp_seq=36 ttl=64 time=19.6 ms
64 bytes from 10.10.0.1: icmp_seq=37 ttl=64 time=55.0 ms
64 bytes from 10.10.0.1: icmp_seq=38 ttl=64 time=40.0 ms
64 bytes from 10.10.0.1: icmp_seq=39 ttl=64 time=28.5 ms
64 bytes from 10.10.0.1: icmp_seq=40 ttl=64 time=27.6 ms
64 bytes from 10.10.0.1: icmp_seq=41 ttl=64 time=23.2 ms
64 bytes from 10.10.0.1: icmp_seq=42 ttl=64 time=39.1 ms
64 bytes from 10.10.0.1: icmp_seq=43 ttl=64 time=40.8 ms
64 bytes from 10.10.0.1: icmp_seq=44 ttl=64 time=16.5 ms
64 bytes from 10.10.0.1: icmp_seq=45 ttl=64 time=19.2 ms
64 bytes from 10.10.0.1: icmp_seq=46 ttl=64 time=34.4 ms
64 bytes from 10.10.0.1: icmp_seq=47 ttl=64 time=60.3 ms
64 bytes from 10.10.0.1: icmp_seq=48 ttl=64 time=20.7 ms
64 bytes from 10.10.0.1: icmp_seq=49 ttl=64 time=69.3 ms
64 bytes from 10.10.0.1: icmp_seq=50 ttl=64 time=37.5 ms

--- 10.10.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 10587ms
rtt min/avg/max/mdev = 14.438/29.769/69.315/12.106 ms

